;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;135;;;;;;;;;;;;;;;;;;;
variables;F0;F5;F10;F15;F20;F25;F30;F35;F40;F45;F90;F135;R0;R5;R10;R15;R20;R25;R30;R35;R40;R45;R90;R135;G0;G5;G10;G15;G20;G25;G30;G35;G40;G45;G90;G135;R-G0;R-G5;R-G10;R-G15;R-G20;R-G25;R-G30;R-G35;R-G40;R-G45;R-G90;R-G135
0;210.081;209.179;201.642;197.807;196.536;192.337;189.481;184.854;183.464;180.553;149.489;105.002;127.515;135.043;133.432;135.897;136.055;135.62;134.12;134.163;136.397;133.266;136.086;142.58;73.97;77.029;72.173;72.803;71.016;68.132;65.107;64.431;65.109;60.144;56.753;59.369;53.545;58.014;61.259;63.094;65.039;67.488;69.013;69.732;71.288;73.122;79.333;83.211
0;221.668;219.256;215.805;212.278;211.102;208.283;205.033;202.8;201.367;198.279;167.619;111.335;118.443;128.397;126.33;129.514;129.386;129.255;127.668;128.176;130.506;127.106;131.633;141.736;62.906;69.1;62.036;62.441;60.737;58.126;55.597;54.363;54.52;50.864;48.028;52.074;55.537;59.297;64.294;67.073;68.649;71.129;72.071;73.813;75.986;76.242;83.605;89.662
0;221.721;218.785;218.046;214.69;213.45;211.051;208.67;207.075;205.221;202.714;178.158;132.919;118.886;127.538;125.936;129.299;129.191;129.098;127.705;127.767;129.715;126.675;128.378;135.746;60.974;65.378;64.816;64.693;62.973;60.573;58.119;56.578;56.135;52.739;46.911;48.731;57.912;62.16;61.12;64.606;66.218;68.525;69.586;71.189;73.58;73.936;81.467;87.015
0;221.952;214.638;217.905;214.076;211.865;209.978;206.998;206.387;203.52;201.738;174.769;127.28;119.247;128.448;126.73;128.948;128.428;127.781;127.266;127.588;128.67;126.143;127.07;134.567;64.588;67.022;60.95;62.147;60.192;56.894;54.113;52.593;52.931;49.201;44.171;45.44;54.659;61.426;65.78;66.801;68.236;70.887;73.153;74.995;75.739;76.942;82.899;89.127
0;214.98;206.424;211.052;207.065;202.828;201.209;196.819;198.199;193.671;191.576;162.118;118.101;115.833;127.659;127.475;129.828;129.125;128.549;127.807;127.839;129.877;126.561;128.056;135.095;62.941;68.568;68.575;67.867;65.569;63.256;60.882;59.867;59.454;55.772;50.817;51.896;52.892;59.091;58.9;61.961;63.556;65.293;66.925;67.972;70.423;70.789;77.239;83.199
0;211.411;210.272;208.972;207.693;204.503;201.828;200.959;197.539;194.673;192.186;162.28;116.358;121.598;133.779;133.292;136.194;136.329;135.913;134.118;134.032;136.119;132.621;136.45;143.665;65.574;73.622;72.689;72.777;71.103;69.064;66.679;65.329;66.221;61.597;57.639;59.734;56.024;60.157;60.603;63.417;65.226;66.849;67.439;68.703;69.898;71.024;78.811;83.931
0.002;211.045;208.4;202.085;195.778;193.713;186.423;180.842;173.944;167.444;158.199;89.699;79.915;119.249;127.995;128.357;131.308;132.192;133.666;132.349;134.326;138.611;134.77;146.019;145.872;53.537;58.852;60.442;61.88;61.808;59.646;58.586;58.355;59.734;58.435;67.769;66.56;65.712;69.143;67.915;69.428;70.384;74.02;73.763;75.971;78.877;76.335;78.25;79.312
0.002;215.389;212.09;209.754;203.759;200.926;195.241;189.082;183.992;176.878;168.906;97.113;87.1;112.863;123.856;125.016;127.826;129.147;130.196;129.941;130.548;134.461;131.662;145.311;145.3;50.189;57.013;54.778;56.105;56.422;55.421;54.052;54.191;55.543;53.246;65.415;65.185;62.674;66.843;70.238;71.721;72.725;74.775;75.889;76.357;78.918;78.416;79.896;80.115
0.002;221.984;216.026;216.102;210.702;208.363;203.66;198.339;194.581;188.275;180.288;98.955;89.242;111.669;121.383;121.698;125.995;126.876;127.153;127.016;127.666;130.425;127.986;140.829;141.144;48.929;55.267;52.952;52.523;52.452;50.986;49.346;49.662;50.687;48.031;57.166;56.109;62.74;66.116;68.746;73.472;74.424;76.167;77.67;78.004;79.738;79.955;83.663;85.035
0.002;216.511;207.655;212.679;207.019;203.205;199.459;192.832;191.352;183.716;176.403;94.745;85.477;111.974;122.287;124.099;127.476;128.246;128.954;128.871;129.34;131.751;128.793;139.845;139.069;49.037;54.726;57.073;57.27;56.542;55.85;54.357;54.294;54.416;52.434;59.283;58.645;63.0;68.0;67.0;70.0;72.0;73.0;75.0;75.1;77.0;76.0;81.0;80.0
0.002;206.371;195.835;203.03;196.649;191.159;187.119;179.507;179.349;169.981;162.825;87.346;75.434;108.293;121.636;122.267;125.944;126.767;127.532;127.397;127.969;130.05;127.369;138.536;138.093;45.922;55.278;56.231;55.862;54.999;52.902;52.101;51.935;52.372;50.434;58.003;57.15;62.371;66.358;66.036;70.082;71.768;74.63;75.296;76.034;77.678;76.935;80.533;80.943
0.002;209.704;205.796;202.539;198.339;193.806;186.967;183.939;177.171;169.613;160.272;89.062;80.055;116.854;128.7;129.305;131.472;132.869;133.898;133.618;135.418;138.852;136.082;146.734;146.278;52.762;60.471;59.055;60.493;59.716;58.702;57.582;57.617;58.343;56.442;65.12;63.999;64.092;68.229;70.25;70.979;73.153;75.196;76.036;77.801;80.509;79.64;81.614;82.279
0.001;214.982;213.083;209.987;205.291;203.6;199.273;194.849;191.172;187.815;182.756;113.133;83.539;118.975;126.686;126.633;130.258;130.767;130.98;129.85;129.812;132.934;129.218;140.126;143.907;56.263;61.863;62.463;63.424;62.56;60.558;58.246;57.234;57.778;54.868;60.216;61.883;62.712;64.823;64.17;66.834;68.207;70.422;71.604;72.578;75.156;74.35;79.91;82.024
0.001;211.762;208.703;206.844;201.443;199.197;194.142;189.055;184.176;180.846;174.084;103.809;86.602;121.307;130.362;129.8;132.08;132.978;132.923;132.021;132.717;135.106;131.674;141.459;143.155;58.775;63.293;62.494;64.202;62.72;61.227;59.563;58.567;60.754;56.705;64.734;64.453;62.532;67.069;67.306;67.878;70.258;71.696;72.458;74.15;74.352;74.969;76.725;78.702
0.001;218.969;211.861;215.203;210.559;208.383;205.038;199.311;198.484;194.231;189.408;120.747;86.833;114.703;123.691;123.884;127.081;127.6;128.105;127.192;127.774;129.424;126.408;136.744;141.087;56.136;61.044;58.014;57.28;56.465;54.683;52.646;51.852;51.846;49.382;54.021;56.221;58.567;62.647;65.87;69.801;71.135;73.422;74.546;75.922;77.578;77.026;82.723;84.866
0.001;215.908;206.801;211.976;207.396;203.985;201.459;195.977;196.279;190.723;185.817;108.231;80.355;113.16;123.013;123.741;126.302;127.309;127.793;127.336;127.502;128.847;126.248;136.681;138.486;53.913;59.377;57.362;57.512;55.553;53.3;51.749;50.519;51.036;48.062;51.292;54.671;59.247;63.636;66.379;68.79;71.756;74.493;75.587;76.983;77.811;78.186;85.389;83.815
0.001;211.611;210.638;207.898;204.924;201.727;196.616;195.21;189.747;185.342;178.914;101.779;80.133;113.721;125.701;126.585;130.608;131.324;131.539;130.688;130.977;134.277;130.199;144.541;147.559;53.868;63.453;61.546;62.274;61.718;59.937;58.175;56.99;57.939;54.837;64.194;64.92;59.853;62.248;65.039;68.334;69.606;71.602;72.513;73.987;76.338;75.362;80.347;82.639
0.001;215.033;212.122;212.123;210.288;206.4;203.197;201.617;197.657;192.828;188.838;109.275;85.005;112.619;124.933;126.778;129.731;131.195;131.716;130.627;130.554;132.95;129.498;143.126;146.202;51.407;62.923;61.779;62.262;61.953;60.612;58.553;58.377;57.404;54.897;62.069;64.32;61.212;62.01;64.999;67.469;69.242;71.104;72.074;72.177;75.546;74.601;81.057;81.882
0.0005;217.678;214.876;212.176;208.094;206.855;203.231;199.235;196.392;193.956;190.438;141.458;88.211;118.306;125.377;124.611;128.128;128.557;128.267;126.94;127.311;129.025;126.231;133.658;140.232;59.705;62.926;59.849;59.84;57.713;55.447;53.905;52.575;52.441;49.067;48.03;53.812;58.601;62.451;64.762;68.288;70.844;72.82;73.035;74.736;76.584;77.164;85.628;86.42
0.0005;220.75;216.697;216.982;212.895;211.264;208.499;204.081;202.688;199.845;197.056;146.686;90.678;112.561;122.347;122.21;124.721;125.543;126.974;125.663;125.931;128.039;125.133;132.794;141.424;53.619;61.911;61.275;60.664;59.596;56.294;55.083;53.945;54.219;50.87;52.085;60.484;58.942;60.436;60.935;64.057;65.947;70.68;70.58;71.986;73.82;74.263;80.709;80.94
0.0005;219.207;211.687;217.862;213.009;211.178;209.449;204.778;204.245;201.534;197.475;151.296;91.989;114.707;123.41;122.956;125.983;126.776;127.048;126.841;126.726;127.794;125.236;132.259;140.879;56.311;61.782;58.691;57.448;55.787;53.184;51.225;50.151;50.741;47.107;46.958;52.694;58.396;61.628;64.265;68.535;70.989;73.864;75.616;76.575;77.053;78.129;85.301;88.185
0.0005;212.068;202.294;208.614;203.311;199.7;197.797;192.406;193.813;188.815;185.381;132.649;79.927;117.066;126.057;128.42;132.001;131.318;131.71;130.788;130.458;131.448;128.992;132.652;138.073;57.82;62.099;65.305;65.338;63.258;61.655;59.727;58.769;57.986;54.844;52.214;56.016;59.246;63.958;63.115;66.663;68.06;70.055;71.061;71.689;73.462;74.148;80.438;82.057
0.0005;216.457;214.931;212.715;210.294;207.439;204.222;202.509;197.364;194.367;191.208;134.773;86.19;118.455;130.638;128.956;131.475;132.126;131.692;130.979;130.96;133.853;129.754;139.703;147.433;60.2;68.191;62.637;63.319;61.289;58.859;56.773;56.088;57.05;52.705;55.038;60.89;58.255;62.447;66.319;68.156;70.837;72.833;74.206;74.872;76.803;77.049;84.665;86.543
0.0005;214.68;211.149;212.411;209.992;206.685;204.21;201.772;199.494;194.854;191.924;136.358;89.881;118.267;129.66;129.54;131.897;132.365;132.028;131.162;130.952;133.684;129.857;136.927;143.044;56.905;65.637;66.341;66.866;64.792;63.137;60.815;60.031;59.97;56.39;56.578;61.309;61.362;64.023;63.199;65.031;67.573;68.891;70.347;70.921;73.714;73.467;80.349;81.735
0.0002;216.325;213.841;212.325;208.251;207.086;203.517;200.119;197.262;194.704;191.501;152.101;94.85;116.043;123.598;123.723;126.474;127.334;127.215;126.476;126.783;127.989;125.468;129.063;136.581;56.171;61.911;59.709;58.84;56.767;54.686;52.171;50.989;51.502;47.571;44.258;51.442;59.872;61.687;64.014;67.634;70.567;72.529;74.305;75.794;76.487;77.897;84.805;85.139
0.0002;215.626;210.512;212.126;207.411;205.666;202.568;197.359;196.476;193.277;190.167;145.959;93.662;119.842;127.969;126.116;129.149;129.784;129.227;128.615;128.539;130.349;127.333;132.015;138.218;58.197;61.646;62.093;62.373;60.822;59.137;57.094;55.914;55.864;52.935;51.843;56.485;61.645;66.323;64.023;66.776;68.962;70.09;71.521;72.625;74.485;74.398;80.172;81.733
0.0002;217.406;209.367;213.767;208.814;206.467;204.092;198.671;199.781;196.603;193.257;153.554;93.285;113.302;122.881;122.696;124.945;126.07;126.089;125.719;126.408;127.27;124.491;128.635;137.238;55.645;62.055;60.772;60.229;57.729;55.457;53.711;52.266;52.237;49.167;45.748;52.498;57.657;60.826;61.924;64.716;68.341;70.632;72.008;74.142;75.033;75.324;82.887;84.74
0.0002;208.788;207.02;202.505;199.547;197.607;193.139;190.675;186.195;183.272;180.007;134.447;85.756;126.257;134.362;133.363;135.567;136.42;135.678;134.657;134.802;137.969;134.194;139.769;147.374;68.642;71.217;68.88;69.747;67.983;65.896;63.77;63.114;62.974;59.98;59.859;64.225;57.615;63.145;64.483;65.82;68.437;69.782;70.887;71.688;74.995;74.214;79.91;83.149
0.0002;214.82;212.746;212.186;209.843;206.679;203.742;201.426;198.091;195.17;192.26;150.648;94.414;116.951;128.796;127.706;130.72;130.829;130.741;129.54;129.533;132.79;128.276;135.623;144.528;55.804;65.155;61.943;62.63;61.535;59.176;57.694;56.037;56.759;53.41;52.231;60.948;61.147;63.641;65.763;68.09;69.294;71.565;71.846;73.496;76.031;74.866;83.392;83.58
0.0002;215.159;210.958;212.993;210.744;206.804;204.202;202.357;200.133;195.383;193.297;150.356;95.95;112.35;125.179;126.094;129.125;129.384;129.536;128.809;128.981;129.963;127.564;132.284;139.552;52.742;63.644;65.121;64.635;63.009;60.734;58.116;57.022;57.27;54.215;52.912;58.383;59.608;61.535;60.973;64.49;66.375;68.802;70.693;71.959;72.693;73.349;79.372;81.169
0.0001;219.389;214.998;215.482;211.118;210.166;207.51;202.994;202.131;200.224;196.984;166.052;111.393;114.529;123.063;121.886;124.072;124.932;124.49;123.602;123.882;126.142;121.972;125.186;134.016;57.747;63.714;59.526;59.117;56.799;54.404;52.027;50.497;50.55;46.442;43.278;46.672;56.782;59.349;62.36;64.955;68.133;70.086;71.575;73.385;75.592;75.53;81.908;87.344
0.0001;220.37;213.9;218.172;212.621;211.292;209.187;205.119;204.898;202.852;200.338;169.648;113.293;113.708;122.977;121.326;123.45;123.786;124.058;124.384;124.042;126.55;122.287;126.646;135.192;57.819;63.766;60.917;59.956;58.25;55.301;52.673;51.895;51.518;48.593;45.11;48.945;55.889;59.211;60.409;63.494;65.536;68.757;71.711;72.147;75.032;73.694;81.536;86.247
0.0001;210.677;200.818;206.621;200.94;197.601;196.297;190.367;191.162;187.863;184.915;146.36;93.059;119.572;129.137;128.475;130.682;130.369;131.042;130.069;129.758;130.94;128.039;129.629;136.108;62.564;65.591;67.286;66.885;65.044;62.209;60.336;59.493;58.338;55.113;49.467;54.055;57.008;63.546;61.189;63.797;65.325;68.833;69.733;70.265;72.602;72.926;80.162;82.053
0.0001;220.277;217.307;212.391;209.601;206.764;203.838;201.564;197.856;195.808;192.749;161.473;109.733;122.957;131.297;130.032;132.63;132.338;131.687;130.268;130.142;132.997;129.136;134.69;142.935;67.808;68.266;65.051;64.198;62.391;59.5;57.505;56.07;56.975;52.288;49.295;53.662;55.149;63.031;64.981;68.432;69.947;72.187;72.763;74.072;76.022;76.848;85.395;89.273
0.0001;220.688;216.285;214.063;211.001;207.898;204.791;202.334;199.091;196.168;193.366;157.08;105.018;119.269;129.908;129.748;131.562;132.256;131.856;130.562;130.74;132.883;129.349;133.858;140.327;64.16;68.942;67.083;66.995;64.443;62.371;60.548;59.954;60.348;56.139;54.39;58.748;55.109;60.966;62.665;64.567;67.813;69.485;70.014;70.786;72.535;73.21;79.468;81.579
0.0001;217.463;211.725;213.97;212.257;208.734;206.701;204.183;202.915;198.352;197.037;161.341;106.711;111.057;124.348;124.551;127.142;127.933;127.607;126.717;127.087;128.911;126.085;129.758;138.359;51.698;65.266;64.851;63.818;61.836;59.848;58.047;57.057;57.686;54.14;51.393;57.578;59.359;59.082;59.7;63.324;66.097;67.759;68.67;70.03;71.225;71.945;78.365;80.781
0.00005;215.834;210.746;212.216;207.703;206.198;203.554;199.103;197.939;196.295;192.501;160.705;106.394;117.77;125.593;125.348;127.108;127.683;127.217;126.439;126.526;128.297;125.721;128.451;134.856;60.403;64.074;62.293;62.395;60.503;58.115;55.576;54.777;54.605;50.535;46.954;49.547;57.367;61.519;63.055;64.713;67.18;69.102;70.863;71.749;73.692;75.186;81.497;85.309
0.00005;216.287;209.191;213.819;209.216;207.073;205.447;200.862;201.839;198.887;195.966;165.633;112.296;117.638;125.837;124.747;127.229;127.263;127.325;126.706;126.492;127.823;124.957;126.105;133.011;61.2;64.711;64.033;64.124;62.119;59.098;57.576;56.334;56.375;52.204;46.959;49.182;56.438;61.126;60.714;63.105;65.144;68.227;69.13;70.158;71.448;72.753;79.146;83.829
0.00005;214.232;213.402;208.762;205.943;204.489;200.844;198.764;194.635;192.629;190.115;157.04;100.973;124.425;131.907;131.227;133.567;134.184;133.638;132.151;132.106;134.549;130.878;136.443;144.192;69.339;72.306;69.228;69.272;67.473;65.244;62.28;61.701;62.789;58.55;56.299;61.929;55.086;59.601;61.999;64.295;66.711;68.394;69.871;70.405;71.76;72.328;80.144;82.263
0.00005;219.074;216.122;214.503;211.691;209.818;207.893;205.529;202.474;200.552;198.949;170.476;122.665;125.942;134.301;132.432;134.549;134.707;133.842;132.981;132.579;135.934;130.954;134.306;140.007;67.132;68.192;65.674;65.943;64.989;62.677;59.663;58.784;58.758;54.402;49.531;51.589;58.81;66.109;66.758;68.606;69.718;71.165;73.318;73.795;77.176;76.552;84.775;88.418
0.00005;218.349;214.905;216.789;214.743;211.857;209.249;208.342;206.472;203.184;201.194;170.448;121.136;112.368;124.987;124.467;128.161;128.605;127.923;127.172;127.238;129.003;126.39;130;137.433;53.758;64.63;61.69;61.576;60.193;57.786;55.397;54.362;54.401;51.368;47.433;51.932;58.61;60.357;62.777;66.585;68.412;70.137;71.775;72.876;74.602;75.022;82.567;85.501
0.00005;214.096;207.407;212.566;210.154;205.3;204.27;201.99;201.468;196.701;194.94;161.991;110.899;115.011;129.181;129.915;133.032;132.259;132.1;130.421;130.325;132.193;128.412;131.092;137.813;57.351;67.442;69.366;69.159;67.715;65.297;63.417;62.134;61.368;58.232;52.972;57.137;57.66;61.739;60.549;63.873;64.544;66.803;67.004;68.191;70.825;70.18;78.12;80.676
0.00002;214.911;209.045;211.247;206.783;204.593;202.059;196.929;196.927;194.169;191.099;158.201;104.407;111.922;121.43;120.681;122.494;122.814;123.09;122.27;122.937;125.956;121.143;125.226;132.935;54.949;62.675;61.125;60.521;58.199;55.093;53.156;51.735;51.024;47.931;44.864;49.11;56.973;58.755;59.556;61.973;64.615;67.997;69.114;71.202;74.932;73.212;80.362;83.825
0.00002;212.655;203.187;208.247;202.526;199.83;198.12;192.355;193.535;190.637;187.565;156.176;105.203;116.591;124.448;124.963;126.835;125.966;126.808;126.291;126.589;127.424;124.813;125.842;132.645;59.983;63.191;64.439;64.331;61.809;58.892;56.83;55.667;55.619;52.322;46.939;49.241;56.608;61.257;60.524;62.504;64.157;67.916;69.461;70.922;71.805;72.491;78.903;83.404
0.00002;218.109;217.049;214.407;211.596;210.312;207.921;206.495;202.331;201.271;199.736;173.676;128.618;126.28;134.432;133.011;135.716;135.695;135.232;133.781;133.584;136.12;132.315;136.108;141.535;69.694;72.615;70.648;71.238;69.578;67.297;64.863;64.035;64.721;60.342;54.709;56.812;56.586;61.817;62.363;64.478;66.117;67.935;68.918;69.549;71.399;71.973;81.399;84.723
0.00002;223.309;219.975;219.374;216.285;214.641;212.472;210.734;208.928;207.011;204.944;181.131;137.278;121.098;128.851;127.909;130.607;129.949;129.445;128.456;128.045;130.576;127.272;129.019;136.339;64.033;66.518;62.398;61.875;60.124;57.293;55.242;54.178;53.386;50.483;44.002;44.964;57.065;62.333;65.511;68.732;69.825;72.152;73.214;73.867;77.19;76.789;85.017;91.375
0.00002;218.233;212.38;215.615;212.938;210.343;208.707;206.016;204.812;202.061;200.52;172.528;125.265;117.719;128.883;128.505;131.463;130.829;131.06;130.189;129.818;131.665;127.957;129.434;135.862;60.313;66.328;66.106;65.908;64.355;61.907;60.007;58.45;57.937;55.234;48.629;51.187;57.406;62.555;62.399;65.555;66.474;69.153;70.182;71.368;73.728;72.723;80.805;84.675
0.00002;217.676;210.176;216.297;213.487;209.482;208.628;206.416;207.226;202.693;201.081;171.73;123.176;113.419;125.267;126.915;128.435;128.84;128.429;127.842;127.661;129.117;126.367;126.744;134.688;57.389;65.035;66.528;67.047;64.316;61.868;59.918;58.966;59.088;54.859;49.046;50.554;56.03;60.232;60.387;61.388;64.524;66.561;67.924;68.695;70.029;71.508;77.698;84.134
0.00001;214.465;207.023;210.902;205.32;203.487;201.502;196.014;196.77;194.149;191.288;161.188;109.98;113.663;122.935;122.977;124.914;124.395;125.108;124.404;124.29;126.819;123.043;125.52;130.531;58.367;63.47;66.055;65.419;63.157;60.667;58.689;57.559;56.085;53.215;46.704;48.821;55.296;59.465;56.922;59.495;61.238;64.441;65.715;66.731;70.734;69.828;78.816;81.71
0.00001;210.194;210.466;205.881;202.823;201.979;198.24;195.848;191.92;190.331;188.381;159.679;115.636;127.506;134.803;133.511;136.212;136.337;135.789;134.333;134.701;136.616;133.042;137.02;143.103;69.923;75.745;73.269;74.426;72.798;70.171;66.936;66.125;67.047;62.731;58.217;61.921;57.583;59.058;60.242;61.786;63.539;65.618;67.397;68.576;69.569;70.311;78.803;81.182
0.00001;221.036;218.624;216.655;213.505;212.36;209.964;207.5;205.092;203.38;201.616;175.759;129.758;123.927;131.808;131.161;133.958;133.618;133.025;131.433;131.642;133.99;130.032;133.172;137.524;67.515;68.496;67.43;67.268;66.02;63.533;61.294;60.514;61.509;56.48;51.774;54.339;56.412;63.312;63.731;66.69;67.598;69.492;70.139;71.128;72.481;73.552;81.398;83.185
0.00001;223.209;219.241;220.302;217.712;215.497;213.515;211.437;210.288;208.338;205.52;181.592;137.108;119.844;128.148;127.516;129.911;129.556;128.634;127.903;127.5;130.44;126.369;128.388;135.331;59.767;64.385;59.244;59.741;57.713;55.335;52.493;51.465;51.174;48.32;41.453;41.864;60.077;63.763;68.272;70.17;71.843;73.299;75.41;76.035;79.266;78.049;86.935;93.467
0.00001;218.503;211.47;216.557;213.283;210.338;209.159;206.518;206.52;202.204;200.633;172.271;126.817;117.428;128.254;127.505;129.975;129.674;130.067;128.808;128.928;130.716;127.379;128.906;135.347;60.233;66.215;64.445;64.969;62.829;60.413;58.872;57.548;57.03;53.954;48.823;49.29;57.195;62.039;63.06;65.006;66.845;69.654;69.936;71.38;73.686;73.425;80.083;86.057
0.00001;215.243;207.382;213.111;210.201;205.905;204.788;201.816;203.007;198.017;196.471;166.116;117.822;112.796;125.255;125.868;127.615;127.394;127.184;125.965;126.306;128.62;125.156;127.792;134.146;58.434;66.703;68.71;68.719;66.123;62.861;61.185;60.095;59.741;56.442;51.685;53.923;54.362;58.552;57.158;58.896;61.271;64.323;64.78;66.211;68.879;68.714;76.107;80.223
0.000005;208.85;199.522;203.619;196.795;194.23;191.931;185.684;186.561;183.69;180.311;144.712;95.098;119.594;127.827;126.646;128.683;128.591;128.208;127.09;127.01;128.119;125.357;125.672;130.552;63.93;66.124;66.508;66.424;63.302;61.253;57.975;56.886;56.829;52.62;47.377;48.782;55.664;61.703;60.138;62.259;65.289;66.955;69.115;70.124;71.29;72.737;78.295;81.77
0.000005;214.649;213.987;210.803;208.392;207.085;204.092;202.218;199.014;197.508;195.782;169.664;125.747;128.237;135.936;133.797;136.56;136.216;136.093;134.462;134.37;137.078;132.667;135.626;140.932;70.376;73.412;70.962;72.819;70.873;68.313;65.568;64.842;64.767;61.318;54.656;58.23;57.861;62.524;62.835;63.741;65.343;67.78;68.894;69.528;72.311;71.349;80.97;82.702
0.000005;221.377;218.695;217.216;213.693;212.077;209.86;207.883;205.807;203.249;201.721;177.168;134.524;123.554;132.663;131.172;133.038;133.278;132.288;131.31;131.222;133.177;129.6;132.626;137.012;67.633;68.664;66.851;66.647;64.995;62.877;60.439;59.591;60.777;55.64;51.038;53.156;55.921;63.999;64.321;66.391;68.283;69.411;70.871;71.631;72.4;73.96;81.588;83.856
0.000005;223.336;217.91;220.726;216.677;214.883;212.65;210.902;209.611;207.504;205.139;182.028;140.231;118.882;127.712;126.607;129.077;128.545;128.027;127.372;127.703;129.088;125.867;127.43;133.795;62.188;64.667;61.586;61.533;60.041;57.191;54.332;52.939;52.691;49.236;42.537;44.296;56.694;63.045;65.021;67.544;68.504;70.836;73.04;74.764;76.397;76.631;84.893;89.499
0.000005;218.008;209.503;214.499;211.18;207.792;206.584;203.172;204.035;200.065;198.666;170.86;125.675;116.753;126.689;127.246;128.962;129.41;128.693;127.399;127.415;129.256;126.218;127.012;133.611;59.963;65.608;67.589;67.765;65.304;62.098;60.532;58.95;59.032;54.934;49.979;52.06;56.79;61.081;59.657;61.197;64.106;66.595;66.867;68.465;70.224;71.284;77.033;81.551
0.000005;234.752;225.652;233.461;231.383;226.945;227.2;224.139;225.645;221.245;219.994;192.83;153.132;105.68;118.236;119.923;121.758;121.852;121.611;121.202;121.493;123.746;120.463;127.481;135.627;48.281;59.669;61.947;62.095;59.825;57.433;55.325;54.369;53.945;51.862;51.474;56.007;57.399;58.567;57.976;59.663;62.027;64.178;65.877;67.124;69.801;68.601;76.007;79.62
